SNAME,SU,NATIONS_SRANK
Abies balsamea,CT,S1
Abies balsamea,IA,S1
Abies balsamea,MA,SNR
Abies balsamea,MD,S1
Abies balsamea,ME,S5
Abies balsamea,MI,SNR
Abies balsamea,MN,SNR
Abies balsamea,NH,SNR
Abies balsamea,NJ,S1
Abies balsamea,NY,S5
Abies balsamea,OH,SNR
Abies balsamea,PA,S3S4
Abies balsamea,RI,SNR
Abies balsamea,VA,S1
Abies balsamea,VT,SNR
Abies balsamea,WI,SNR
Abies balsamea,WV,S3
Abies balsamea,AB,S5
Abies balsamea,LB,S5
Abies balsamea,MB,S5
Abies balsamea,NB,S5
Abies balsamea,NF,S5
Abies balsamea,NS,S5
Abies balsamea,NU,SNR
Abies balsamea,ON,S5
Abies balsamea,PE,S5
Abies balsamea,QC,S5
Abies balsamea,SK,S5
Acalypha deamii,AR,S1
Acalypha deamii,IL,S2S3
Acalypha deamii,IN,S2
Acalypha deamii,KS,S1
Acalypha deamii,KY,S3S4
Acalypha deamii,MO,S1
Acalypha deamii,OH,S2
Acalypha deamii,PA,SX
Acalypha deamii,TN,S1
Acalypha deamii,TV,SNR
Acalypha deamii,VA,S3
Acalypha gracilens,AL,SNR
Acalypha gracilens,AR,SNR
Acalypha gracilens,CT,SNR
Acalypha gracilens,DC,SNR
Acalypha gracilens,DE,SNR
Acalypha gracilens,FL,SNR
Acalypha gracilens,GA,S5
Acalypha gracilens,GS,PNR
Acalypha gracilens,IA,SNR
Acalypha gracilens,IL,SNR
Acalypha gracilens,IN,SNR
Acalypha gracilens,KS,SNR
Acalypha gracilens,KY,S4S5
Acalypha gracilens,LA,SNR
Acalypha gracilens,MA,SNR
Acalypha gracilens,MD,SNR
Acalypha gracilens,ME,SNR
Acalypha gracilens,MI,SNR
Acalypha gracilens,MO,SNR
Acalypha gracilens,MS,SNR
Acalypha gracilens,NC,S5
Acalypha gracilens,NH,SNR
Acalypha gracilens,NJ,SNR
Acalypha gracilens,NY,SNR
Acalypha gracilens,OH,SNR
Acalypha gracilens,OK,SNR
Acalypha gracilens,PA,SNR
Acalypha gracilens,RI,SNR
Acalypha gracilens,SC,SNR
