SNAME,SUBNATIONS_SRANKS
Abies balsamea,"CT(S1), IA(S1), MA(SNR), MD(S1), ME(S5), MI(SNR), MN(SNR), NH(SNR), NJ(S1), NY(S5), OH(SNR), PA(S3S4), RI(SNR), VA(S1), VT(SNR), WI(SNR), WV(S3), AB(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5)"
Acalypha deamii,"AR(S1), IL(S2S3), IN(S2), KS(S1), KY(S3S4), MO(S1), OH(S2), PA(SX), TN(S1), TV(SNR), VA(S3)"
Acalypha gracilens,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), FL(SNR), GA(S5), GS(PNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(SNR)"
Acalypha gracilens,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S4), FL(SNR), GA(S5), GS(P1), IA(SU), IL(SNR), IN(SNR), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S4), NY(S4), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S1), WI(SNR), WV(S3)"
Acalypha rhomboidea,"AL(SNR), AR(SNR), CT(SNR), DE(S4), FL(SNR), GA(S5), GS(P3), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SH), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S4), NS(SNA), ON(S5), QC(S4)"
Acalypha virginica,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S1), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), WV(SNR)"
Acalypha virginica,"AL(SNR), AR(SNR), CT(S3), DC(SNR), DE(S4), FL(SNR), GA(S5), GS(P2), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(S1S2), MD(SNR), ME(SH), MI(SNA), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SH), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), ON(S5), QC(S4)"
Acer negundo,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(S5), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR), AB(S2?), BC(SNA), MB(S5), NB(SNA), NS(SNA), NT(SNR), ON(S5), PE(SNA), QC(SNA), SK(S5), YT(SNA)"
Acer negundo var. negundo,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), MB(SU), NB(SNA), NS(SNA), ON(SNR), PE(SNA), QC(SNA)"
Acer nigrum,"AL(SNR), AR(S1S2), CT(SNA), DE(SNA), GA(S3?), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S4), MA(S3), MD(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S1?), NH(S2), NJ(SU), NY(S5), OH(SNR), PA(S5), SD(SNR), TN(SNR), TV(SNR), VA(S5), VT(S3), WI(SNR), WV(S4), ON(S4?), QC(S3)"
Acer pensylvanicum,"CT(SNR), DC(SU), GA(S3S4), GS(P5), KY(S3S4), MA(SNR), MD(SNR), ME(SNR), MI(SNR), NC(S4), NH(SNR), NJ(S4), NY(S5), OH(S2), PA(S5), RI(S1), SC(S2), TN(SNR), VA(S5), VT(SNR), WI(S1), WV(S4), NB(S5), NS(S5), ON(S5), PE(S5), QC(S5)"
Acer rubrum,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(PNR), IA(S1), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5)"
Acer rubrum var. rubrum,"AL(SNR), AR(SNR), CT(SNR), DE(S5), GA(S5), GS(P5), IA(SNR), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), MB(SNR), NB(S5), NS(S5), ON(SNR), PE(S5), QC(SNR)"
Acer rubrum var. trilobum,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), GS(P1P2), IL(SNR), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S3S4), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5?), VT(SNR), WV(S3), NB(S5?), NS(S4S5), ON(SNR), QC(SNR)"
Acer saccharinum,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S3S4), GS(P1), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), MB(SNR), NB(S4S5), NS(S1), ON(S5), QC(S4S5), SK(SNA)"
Acer saccharum,"AL(SNR), AR(SNR), CT(SNR), DC(SNA), DE(S4), GA(S3), GS(P5), IA(S5), IL(SNR), IN(S5), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(S5), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SH), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(S4), TN(SNR), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S5), NS(S5), ON(S5), PE(S5), QC(S5)"
Acer saccharum var. saccharum,"AL(SNR), AR(SNR), CT(SNR), DE(S3), GA(S3), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S5), NS(S5), ON(S5), PE(S5), QC(SNR)"
